system:index,ID,distance_1,distance_10,distance_11,distance_12,distance_13,distance_14,distance_15,distance_16,distance_17,distance_18,distance_19,distance_2,distance_20,distance_21,distance_22,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,treated,.geo
2_306,1307.0,169.0,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,12.041594578792296,119.75391434103521,12.041594578792296,12.041594578792296,12.041594578792296,119.75391434103521,99.04039579888602,79.51100552753688,79.51100552753688,79.51100552753688,12.041594578792296,12.041594578792296,0,"{""type"":""Point"",""coordinates"":[-60.890075225297956,-10.547037686899253]}"
2_307,1308.0,89.49301648732151,79.02531240052139,79.02531240052139,54.08326913195984,54.08326913195984,54.08326913195984,54.08326913195984,48.104053883222775,48.104053883222775,48.104053883222775,48.104053883222775,89.49301648732151,48.104053883222775,48.104053883222775,48.104053883222775,89.49301648732151,79.02531240052139,79.02531240052139,79.02531240052139,79.02531240052139,79.02531240052139,79.02531240052139,0,"{""type"":""Point"",""coordinates"":[-60.14903324428201,-10.752161597776647]}"
2_308,1309.0,41.7612260356422,7.211102550927978,7.211102550927978,7.211102550927978,7.211102550927978,4.0,3.0,3.0,3.0,3.0,3.0,7.211102550927978,3.0,3.0,3.0,7.211102550927978,7.211102550927978,7.211102550927978,7.211102550927978,7.211102550927978,7.211102550927978,7.211102550927978,0,"{""type"":""Point"",""coordinates"":[-60.88571897893862,-11.942019083355337]}"
2_309,1310.0,209.68786326347075,66.46803743153546,66.46803743153546,53.53503525729669,53.53503525729669,53.53503525729669,53.53503525729669,53.53503525729669,53.53503525729669,53.53503525729669,27.202941017470888,113.0,27.202941017470888,27.202941017470888,27.202941017470888,113.0,113.0,66.46803743153546,66.46803743153546,66.46803743153546,66.46803743153546,66.46803743153546,0,"{""type"":""Point"",""coordinates"":[-60.29150135025735,-10.266594758803667]}"
2_310,1311.0,109.17875251164945,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,54.08326913195984,26.832815729997478,26.832815729997478,26.832815729997478,54.08326913195984,54.08326913195984,54.08326913195984,26.832815729997478,26.832815729997478,26.832815729997478,26.832815729997478,0,"{""type"":""Point"",""coordinates"":[-61.91931863068069,-10.12010765945279]}"
2_311,1312.0,,,,,,,,,,,,,,,,,,,,,,,0,"{""type"":""Point"",""coordinates"":[-61.544774481052826,-11.337673346836338]}"
2_312,1313.0,56.08029957123981,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,8.54400374531753,0,"{""type"":""Point"",""coordinates"":[-61.38755080486463,-10.17419732938801]}"
2_313,1314.0,88.23264701911646,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,35.22782990761707,88.23264701911646,35.22782990761707,35.22782990761707,35.22782990761707,55.08175741568164,46.87216658103186,46.87216658103186,46.87216658103186,46.87216658103186,46.87216658103186,35.22782990761707,0,"{""type"":""Point"",""coordinates"":[-60.95101478540511,-9.984905479916636]}"
2_314,1315.0,53.85164807134504,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,0,"{""type"":""Point"",""coordinates"":[-61.528181386112045,-10.023683728794605]}"
2_315,1316.0,98.65596788841515,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60.876925020897694,2.0,2.0,2.0,6.4031242374328485,2.0,2.0,2.0,2.0,2.0,2.0,0,"{""type"":""Point"",""coordinates"":[-60.73263415595836,-11.66110840837163]}"
